SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
10625 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0081 0153,Athens,,,King,1,44,44
ADPR,3130,Advertising Research,,Advertising and Pub Relations,,,,,,,
10634 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0081 0147,Athens,,,Han,1,44,44
10636 0,A 3.0 - 3.0,M W,02:30 pm-04:25 pm,0062 0412,Athens,,,Himelboim,1,60,60
10638 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0081 0207,Athens,,,Ahn,1,44,44
ADPR,3510,Public Relations Research,,Advertising and Pub Relations,,,,,,,
10658 0,A 3.0 - 3.0,M W,12:20 pm-02:15 pm,0062 0412,Athens,,,Meng,1,60,60
10660 0,A 3.0 - 3.0,M W,09:05 am-11:00 am,0060 0053,Athens,,,,1,44,44
ADPR,3520,Graphic Communications,,Advertising and Pub Relations,,,,,,,
10668 0,A 3.0 - 3.0,M,09:05 am-09:55 am,0062 0311,Athens,,,Smith,1,20,20
0,A 3.0 - 3.0,W,09:05 am-11:00 am,0062 0311,Athens,,,Smith,1,20,20
10673 0,A 3.0 - 3.0,M,12:20 pm-02:15 pm,0062 0311,Athens,,,Landrum,1,20,20
0,A 3.0 - 3.0,,F 12:20 pm-01:10 pm,0062 0311,Athens,,,Landrum,1,20,20
10680 0,A 3.0 - 3.0,,F 10:10 am-12:05 pm,0062 0311,Athens,,,Landrum,1,20,20
0,A 3.0 - 3.0,M,10:10 am-11:00 am,0062 0311,Athens,,,Landrum,1,20,20
10682 0,A 3.0 - 3.0,T,09:30 am-10:45 am,0062 0311,Athens,,,Landrum,1,20,20
0,A 3.0 - 3.0,R,09:30 am-12:15 pm,0062 0311,Athens,,,Landrum,1,20,20
ADPR,3520E,Graphic Communications,,Advertising and Pub Relations,,,,,,,
34533 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,Online,,,Deal,1,20,20
34535 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,Online,,,Deal,1,20,20
ADPR,3850,Public Relations,,Advertising and Pub Relations,,,,,,,
10688 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0081 0102,Athens,,,Cacciatore,1,300,300
ADPR,3860,Intro Public Affairs Comm,,Advertising and Pub Relations,,,,,,,
29768 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0081 0214,Athens,,,Watson,1,88,88
29769 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0081 0214,Athens,,,Watson,1,88,88
ADPR,5010,Advt Internship,,Advertising and Pub Relations,,,,,,,
23841 0,A 1.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,Athens,,,Reichert,1,20,20
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
ADPR,5011,Public Relations Internship,,Advertising and Pub Relations,,,,,,,
21070 0,A 1.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,Athens,,,Reber,1,20,20
ADPR,5110,ADPR Health,,Advertising and Pub Relations,,,,,,,
29770 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0081 0147,Athens,,,Han,1,44,44
ADPR,5120,Crisis Communication,,Advertising and Pub Relations,,,,,,,
29771 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,0062 0412,Athens,,,Reber,1,60,60
ADPR,5130,Sports Communication,,Advertising and Pub Relations,,,,,,,
29772 0,A 3.0 - 3.0,T,05:00 pm-07:45 pm,0081 0153,Athens,,,Harris,1,44,44
ADPR,5140,Advt and Society,,Advertising and Pub Relations,,,,,,,
