SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
FINA,4205,Mergers and Acquisitions,,Finance,,,,,,,
24879 0,C 3.0 - 3.0,W,12:20 pm-03:10 pm,,0738B,B112,Athens,,1,0,0
FINA,4210,Applied Corp Fin,,Finance,,,,,,,
13139 J2,A 3.0 - 3.0,T R,09:30 am-10:45 am,,0058,0204,Athens,Johnson,1,20,20
13140 J3,A 3.0 - 3.0,T R,11:00 am-12:15 pm,,0058,0204,Athens,Johnson,1,20,20
13141 S2,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,,0738A,A015,Athens,,1,20,20
13142 S1,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,,0738A,A015,Athens,,1,20,20
24632 G1,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,,0739,0116,Athens,Gillan,1,50,50
28256 B1,A 3.0 - 3.0,T R,09:30 am-10:45 am,,0046,0G10,Athens,Gillan,1,20,20
28414 B2,A 3.0 - 3.0,T R,11:00 am-12:15 pm,,0046,0G10,Athens,Gillan,1,20,20
28415 J1,A 3.0 - 3.0,T R,08:00 am-09:15 am,,0058,0204,Athens,Johnson,1,20,20
28416 B3,C 3.0 - 3.0,M W,F 11:15 am-12:05 pm,,TBA,TBA,Athens,,1,20,20
29856 J4,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,,0058,0204,Athens,Johnson,1,20,20
34431 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,,0058,0314,Athens,,1,50,50
FINA,4310,Survey of Investments,,Finance,,,,,,,
13143 0,A 3.0 - 3.0,M W,F 12:20 pm-01:10 pm,,0739,0214,Athens,Brooks,1,60,60
13144 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,,0739,0214,Athens,Brooks,1,60,60
13145 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,,0046,0107,Athens,Cohen,1,60,60
13146 0,A 3.0 - 3.0,M W,F 09:05 am-09:55 am,,0058,0314,Athens,Brooks,1,60,60
24623 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,,0046,0107,Athens,Cohen,1,60,60
33943 0,A 3.0 - 3.0,M W,12:00 pm-01:45 pm,,TBA,TBA,Griffin,Wolk,1,20,20
34269 0,C 3.0 - 3.0,T R,12:30 pm-01:45 pm,,TBA,TBA,Athens,,1,50,50
34270 0,C 3.0 - 3.0,T R,02:00 pm-03:15 pm,,TBA,TBA,Athens,,1,50,50
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,,BLDG,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FINA,4310,Survey of Investments,,Finance,,,,,,,
34271 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,,0739,0313,Athens,Cohen,1,60,60
FINA,4320,Derv Security Mkts,,Finance,,,,,,,
13147 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,,0738A,A009,Athens,Yildizhan,1,40,40
29713 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,,0738A,A009,Athens,Yildizhan,1,40,40
FINA,4420,Private Equity,,Finance,,,,,,,
24504 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,,0058,0312,Athens,Heller,1,50,50
27250 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,,0058,0312,Athens,Heller,1,50,50
FINA,4800,Intern and/or Coop Education,,Finance,,,,,,,
13150 0,A 1.0 - 3.0,,12:01 am-11:59 pm,,NCRR,TBA,Off,Pope,1,5,5
FINA,4810,International Finance,,Finance,,,,,,,
13157 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,,0738B,B010,Athens,Moore,1,130,130
13158 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,,0738B,B010,Athens,Moore,1,130,130
FINA,4920,Financial Modeling,,Finance,,,,,,,
13353 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,,0738C,C101,Athens,Yildizhan,1,40,40
13354 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,,0058,0109,Athens,,1,48,48
13356 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,,0058,0109,Athens,,1,48,48
33802 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,,0058,0109,Athens,,1,40,40
FINA,4920E,Financial Modeling,,Finance,,,,,,,
26751 0,A 3.0 - 3.0,,12:01 am-11:59 pm,,NCRR,NCRR,Online,Pope,1,150,150
FINA,5990,Directed Study,,Finance,,,,,,,
34671 0,A 1.0 - 9.0,M W,F 11:15 am-12:05 pm,,0738B,B112,Athens,Hund,1,30,30
34705 0,A 1.0 - 9.0,M W,F 09:05 am-09:55 am,,TBA,TBA,Athens,,1,50,50
FINA,6320,Derv Security Mkts,,Finance,,,,,,,
13334 C1,A 3.0 - 3.0,T R,11:00 am-12:15 pm,,0738A,A009,Athens,Yildizhan,1,15,15
29714 C2,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,,0738A,A009,Athens,Yildizhan,1,15,15
FINA,6810,International Finance,,Finance,,,,,,,
13310 C1,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,,0738B,B010,Athens,Moore,1,20,20
13337 C2,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,,0738B,B010,Athens,Moore,1,20,20
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,,BLDG,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FINA,7010,Financial Management,,Finance,,,,,,,
13609 C,A 3.0 - 3.0,T R,09:30 am-10:45 am,,0739,0321,Athens,Blasko,1,50,50
13623 B,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,,0739,0321,Athens,Blasko,1,55,55
FINA,7310,Investments,,Finance,,,,,,,
13627 B,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,,0739,0313,Athens,Cohen,1,50,50
FINA,9000,Doctoral Research,,Finance,,,,,,,
13100 D,A 1.0 - 9.0,,12:01 am-11:59 pm,,NCRR,TBA,Athens,Poulsen,1,10,10
FINA,9230,Res Topics in Fin,,Finance,,,,,,,
13358 P,A 3.0 - 3.0,M,01:00 pm-04:00 pm,,0058,0204,Athens,Yildizhan,1,15,15
FINA,9300,Doct Dissertation,,Finance,,,,,,,
13161 D,A 1.0 - 12.0,,12:01 am-11:59 pm,,NCRR,TBA,Athens,Poulsen,1,10,10
FISH,3000,Int Fish Wildl Man,,,,,,,,,
14747 0,A 2.0 - 2.0,M W,09:05 am-09:55 am,,1040,0304,Athens,Shelton,1,120,120
FISH,3900,Fisheries Internship,,,,,,,,,
25072 1,A 1.0 - 1.0,,12:01 am-11:59 pm,,NCRR,NCRR,Athens,Shelton,1,100,100
29677 2,A 2.0 - 2.0,,12:01 am-11:59 pm,,NCRR,NCRR,Athens,Shelton,1,100,100
29678 3,A 3.0 - 3.0,,12:01 am-11:59 pm,,NCRR,NCRR,Athens,Shelton,1,100,100
FISH,4200,Aquatic Biology,,,,,,,,,
14668 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,,1046,0517,Athens,Wilde,1,40,40
FISH,4200L,Aquatic Biology Lab,,,,,,,,,
14669 0,A 1.0 - 1.0,R,02:00 pm-04:45 pm,,1040,0101,Athens,Wilde,1,20,20
FISH,4500,Fish Physiology,,,,,,,,,
14670 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,,1046,0517,Athens,Bringolf,1,30,30
FISH,4500L,Fish Phys Lab,,,,,,,,,
14671 0,A 1.0 - 1.0,,F 01:25 pm-05:30 pm,,2580,0124,Athens,Bringolf,1,30,30
FISH,5360,Fisheries Mgt,,,,,,,,,
14672 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,,1040,0306,Athens,Shelton,1,15,15
FISH,5360L,Fisheries Mgt Lab,,,,,,,,,
14673 0,A 1.0 - 1.0,W,01:25 pm-05:30 pm,,1040,0107,Athens,Shelton,1,10,10
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,,BLDG,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FISH,5750E,Fish and Wildlife Software,,,,,,,,,
33785 0,A 3.0 - 3.0,,12:01 am-11:59 pm,,NCRR,NCRR,Online,Conroy,1,20,20
FISH,6200,Aquatic Biology,,,,,,,,,
14728 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,,1046,0517,Athens,Wilde,1,40,40
FISH,6200L,Aquatic Biology Lab,,,,,,,,,
14729 0,A 1.0 - 1.0,R,02:00 pm-04:45 pm,,1040,0101,Athens,Wilde,1,20,20
FISH,6500,Fish Physiology,,,,,,,,,
14730 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,,1046,0517,Athens,Bringolf,1,30,30
FISH,6500L,Fish Phys Lab,,,,,,,,,
14731 0,A 1.0 - 1.0,,F 01:25 pm-05:30 pm,,2580,0124,Athens,Bringolf,1,30,30
FISH,7360,Fisheries Mgt,,,,,,,,,
14732 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,,1040,0306,Athens,Shelton,1,15,15
FISH,7360L,Fisheries Mgt Lab,,,,,,,,,
14733 0,A 1.0 - 1.0,W,01:25 pm-05:30 pm,,1040,0107,Athens,Shelton,1,10,10
FISH,7750E,Fish and Wildlife Software,,,,,,,,,
33786 0,A 3.0 - 3.0,,12:01 am-11:59 pm,,NCRR,NCRR,Online,Conroy,1,20,20
FORS,3010,Dendrology,,,,,,,,,
14675 0,A 2.0 - 2.0,T R,11:00 am-11:50 am,,1040,0304,Athens,Merkle,1,60,60
FORS,3010L,Dendrology Lab,,,,,,,,,
14676 W,A 1.0 - 1.0,W,01:25 pm-05:30 pm,,1046,0418,Athens,Merkle,1,20,20
14677 R,A 1.0 - 1.0,R,01:00 pm-05:00 pm,,1046,0418,Athens,Merkle,1,20,20
14678 T,A 1.0 - 1.0,T,01:00 pm-05:00 pm,,1046,0418,Athens,Merkle,1,20,20
FORS,3500,Wood Prop and Util,,,,,,,,,
14679 0,A 2.0 - 2.0,T R,08:00 am-09:15 am,,1046,0517,Athens,Dahlen,1,50,50
FORS,3900,Forestry Internship,,,,,,,,,
25073 0,A 3.0 - 3.0,,12:01 am-11:59 pm,,NCRR,NCRR,Athens,Bullock,1,100,100
FORS,4010,Silviculture,,,,,,,,,
14680 0,A 4.0 - 4.0,M W,F 10:10 am-11:00 am,,1046,0418,Athens,Kane,1,24,24
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,,BLDG,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FORS,4010L,Silviculture Lab,,,,,,,,,
14681 0,A 0.0 - 0.0,W,01:25 pm-05:30 pm,,1046,0517,Athens,Kane,1,24,24
FORS,4610,Forest Mensuration,,,,,,,,,
14683 0,A 4.0 - 4.0,T R,09:30 am-10:45 am,,1046,0517,Athens,Bullock,1,50,50
FORS,4610L,For Mensuration Lab,,,,,,,,,
14684 0,A 0.0 - 0.0,R,02:00 pm-06:15 pm,,1040,0201,Athens,Bullock,1,50,50
0,A 0.0 - 0.0,R,02:00 pm-06:15 pm,,1040,0210,Athens,Bullock,1,50,50
FORS,4700,Forest Economics,,,,,,,,,
14685 0,A 3.0 - 3.0,M W,12:20 pm-01:10 pm,,1040,0209,Athens,Siry,1,24,24
FORS,4700L,Forest Economics L,,,,,,,,,
14686 0,A 0.0 - 0.0,,F 12:20 pm-02:15 pm,,1040,0209,Athens,Siry,1,24,24
FORS,5720,Harvest and Roads,,,,,,,,,
14687 0,A 3.0 - 3.0,M W,09:05 am-09:55 am,,1046,0517,Athens,Conrad,1,60,60
FORS,5720L,Harvest and Roads Lab,,,,,,,,,
14688 0,A 0.0 - 0.0,M,01:25 pm-04:25 pm,,1040,0209,Athens,Conrad,1,60,60
FORS,6010,Silviculture,,,,,,,,,
14734 0,A 4.0 - 4.0,M W,F 10:10 am-11:00 am,,1046,0418,Athens,Kane,1,24,24
FORS,6010L,Silviculture Lab,,,,,,,,,
14735 0,A 0.0 - 0.0,W,01:25 pm-05:30 pm,,1046,0517,Athens,Kane,1,24,24
FORS,6610,Forest Mensuration,,,,,,,,,
14737 0,A 4.0 - 4.0,T R,09:30 am-10:45 am,,1046,0517,Athens,Bullock,1,50,50
FORS,6610L,For Mensuration Lab,,,,,,,,,
14738 0,A 0.0 - 0.0,R,02:00 pm-06:15 pm,,1040,0201,Athens,Bullock,1,50,50
0,A 0.0 - 0.0,R,02:00 pm-06:15 pm,,1040,0210,Athens,Bullock,1,50,50
FORS,6700,Forest Economics,,,,,,,,,
14739 0,A 3.0 - 3.0,M W,12:20 pm-01:10 pm,,1040,0209,Athens,Siry,1,24,24
FORS,6700L,Forest Economics L,,,,,,,,,
14740 0,A 0.0 - 0.0,,F 12:20 pm-02:15 pm,,1040,0209,Athens,Siry,1,24,24
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,ROOM,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FORS,7070,Forestry Consulting,,,,,,,,,
33775 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,1040,0307,,Athens,Izlar,1,10,10
FORS,7630,Intensive For Mgmt,,,,,,,,,
33776 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,1040,0306,,Athens,Kane,1,20,20
FORS,7690,Applied GIS For Res Mgmt,,,,,,,,,
24235 0,A 3.0 - 3.0,M W,12:20 pm-01:10 pm,1046,0419,,Athens,Lowe,1,15,15
FORS,7690L,Applied GIS For Res Mgmt Lab,,,,,,,,,
24236 0,A 0.0 - 0.0,,F 12:20 pm-02:15 pm,1046,0419,,Athens,Lowe,1,15,15
FORS,7710,Adv For Economics,,,,,,,,,
33777 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR,NCRR,,Athens,Siry,1,20,20
FORS,7720,Harvest and Roads,,,,,,,,,
14741 0,A 3.0 - 3.0,M W,09:05 am-09:55 am,1046,0517,,Athens,Conrad,1,60,60
FORS,7720L,Harvest and Roads Lab,,,,,,,,,
14742 0,A 0.0 - 0.0,M,01:25 pm-04:25 pm,1040,0209,,Athens,Conrad,1,60,60
FORS,7780,Timberland Acc,,,,,,,,,
14691 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR,NCRR,,Athens,Mei,1,20,20
FORS,8460,Mgmt and Model Forest Carbon,,,,,,,,,
27716 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,1046,0516,,Athens,Dwivedi,1,15,15
FORS,8470,Self Ref Mod Env Sc,,,,,,,,,
33779 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR,NCRR,,Athens,Cieszewski,1,10,10
FORS,8490,Samp Tech Bio Pop,,,,,,,,,
33780 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR,NCRR,,Athens,,1,10,10
FREN,1001,Elementary French,,Romance Languages,,,,,,,
15468 0,A 4.0 - 4.0,,12:01 am-11:59 pm,NCRR,NCRR,,Athens,,1,28,28
0,A 4.0 - 4.0,M W,F 11:15 am-12:05 pm,0081,0275,,Athens,,1,28,28
15469 0,A 4.0 - 4.0,M W,F 12:20 pm-01:10 pm,0062,0509,,Athens,,1,28,28
0,A 4.0 - 4.0,,12:01 am-11:59 pm,NCRR,NCRR,,Athens,,1,28,28
15470 0,A 4.0 - 4.0,M W,F 01:25 pm-02:15 pm,0640,0112,,Athens,,1,28,28
0,A 4.0 - 4.0,,12:01 am-11:59 pm,NCRR,NCRR,,Athens,,1,28,28
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FREN,1001,Elementary French,,Romance Languages,,,,,,,
22122 0,A 4.0 - 4.0,M W,F 02:30 pm-03:20 pm,0640 0118,,,Athens,,1,28,28
0,A 4.0 - 4.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,,1,28,28
28094 0,A 4.0 - 4.0,M W,F 09:05 am-09:55 am,0640 0113,,,Athens,,1,28,28
0,A 4.0 - 4.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,,1,28,28
28169 0,A 4.0 - 4.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,,1,28,28
0,A 4.0 - 4.0,M W,F 09:05 am-09:55 am,0081 0253,,,Athens,,1,28,28
FREN,1002,Elementary French,,Romance Languages,,,,,,,
15473 0,A 4.0 - 4.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,,1,28,28
0,A 4.0 - 4.0,M W,F 11:15 am-12:05 pm,0640 0118,,,Athens,,1,28,28
15474 0,A 4.0 - 4.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,,1,28,28
0,A 4.0 - 4.0,M W,F 12:20 pm-01:10 pm,0056 0145,,,Athens,,1,28,28
FREN,1110,Accelerated Elementary French,,Romance Languages,,,,,,,
15476 0,A 4.0 - 4.0,M W,F 11:15 am-12:05 pm,0062 0514,,,Athens,,1,28,28
0,A 4.0 - 4.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,,1,28,28
15478 0,A 4.0 - 4.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,,1,28,28
0,A 4.0 - 4.0,M W,F 02:30 pm-03:20 pm,0640 0115,,,Athens,,1,28,28
28277 0,A 4.0 - 4.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,,1,28,28
0,A 4.0 - 4.0,M W,F 09:05 am-09:55 am,0640 0118,,,Athens,,1,28,28
32641 0,A 4.0 - 4.0,M W,F 12:20 pm-01:10 pm,0640 0118,,,Athens,,1,28,28
0,A 4.0 - 4.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,,1,28,28
FREN,2001,Intermediate French,,Romance Languages,,,,,,,
15479 0,A 3.0 - 3.0,M W,F 12:20 pm-01:10 pm,0640 0113,,,Athens,,1,28,28
15480 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,0640 0115,,,Athens,,1,28,28
15481 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0060 0303,,,Athens,,1,28,28
15482 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0062 0511,,,Athens,,1,28,28
15483 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0053 0322,,,Athens,,1,28,28
15484 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0062 0507,,,Athens,,1,28,28
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FREN,2001,Intermediate French,,Romance Languages,,,,,,,
22716 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,0640 0116,,,Athens,,1,28,28
FREN,2002,Intermediate French,,Romance Languages,,,,,,,
15485 0,A 3.0 - 3.0,M W,F 09:05 am-09:55 am,0640 0360,,,Athens,,1,20,20
15486 0,A 3.0 - 3.0,M W,F 12:20 pm-01:10 pm,0640 0350K,,,Athens,,1,20,20
15487 0,A 3.0 - 3.0,M W,F 02:30 pm-03:20 pm,0640 0350K,,,Athens,,1,20,20
15488 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0250 0011,,,Athens,,1,20,20
15489 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0061 0002,,,Athens,,1,20,20
FREN,2030,Practical French Conversation,,Romance Languages,,,,,,,
15491 0,A 1.0 - 1.0,,12:01 am-11:59 pm,1221 TBA,,,Athens,,1,25,25
FREN,2500,French for Reading Knowledge,,Romance Languages,,,,,,,
12942 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,0640 0230,,,Athens,Raser,1,15,15
FREN,3010,French Convers and Compos,,Romance Languages,,,,,,,
13000 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,0640 0230,,,Athens,Gabara,1,15,15
13003 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,0640 0251,,,Athens,Jones,1,15,15
13004 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,0640 0251,,,Athens,Jones,1,15,15
30072 0,A 3.0 - 3.0,M W,F 09:05 am-09:55 am,0640 0230,,,Athens,Gabara,1,15,15
FREN,3020,Adv Conversation Composition,,Romance Languages,,,,,,,
13008 0,A 3.0 - 3.0,M W,F 09:05 am-09:55 am,0640 0251,,,Athens,Krell,1,15,15
13010 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,0640 0230,,,Athens,Krell,1,15,15
30073 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0640 0230,,,Athens,Pendergrass,1,15,15
30138 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0640 0251,,,Athens,Haddad,1,15,15
FREN,3020H,Adv Convers and Compos Hon,,Romance Languages,,,,,,,
33985 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0640 0251,,,Athens,Pendergrass,1,15,15
FREN,3030,Introduction to French Lit,,Romance Languages,,,,,,,
13024 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0640 0303,,,Athens,Baillehache,1,25,25
FREN,3030H,Honors French Literature,,Romance Languages,,,,,,,
30076 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0640 0230,,,Athens,,1,15,15
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FREN,3080E,Topic Fr Civ Online,,Romance Languages,,,,,,,
23173 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,,Online,Baillehache,1,25,25
FREN,3090,French Linguistics,,Romance Languages,,,,,,,
13065 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,0640 0360,,,Athens,Farmer,1,25,25
33986 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0640 0320,,,Athens,Ranson,1,25,25
FREN,4080,Studies French Lit and Culture,,Romance Languages,,,,,,,
33990 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0640 0115,,,Athens,Sahakian,1,25,25
FREN,4120,French Culture Lang and Lit,,Romance Languages,,,,,,,
30134 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0640 0320,,,Athens,Haddad,1,25,25
FREN,4150,Business French,,Romance Languages,,,,,,,
30135 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,0640 0320,,,Athens,Krell,1,25,25
FREN,6120,French Culture Lang and Lit,,Romance Languages,,,,,,,
24674 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0640 0320,,,Athens,Haddad,1,25,25
FREN,6500,19th Cent Fren Lit,,Romance Languages,,,,,,,
33992 0,A 3.0 - 3.0,M,03:35 pm-06:35 pm,0640 0303,,,Athens,Raser,1,25,25
FREN,8180,Literary Theory,,Romance Languages,,,,,,,
34004 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0640 0115,,,Athens,Baillehache,1,25,25
FREN,8800,Sem Fr Linguistics,,Romance Languages,,,,,,,
34000 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0640 0320,,,Athens,Ranson,1,25,25
FSTY,1005,Field Study-Comm Des Charrette,,,,,,,,,
30951 0,A 0.0 - 0.0,,12:01 am-11:59 pm,NCRR NCRR,,,Field,Cassity,1,39,39
FYOS,1001,First Year Odyssey,,,,,,,,,
11144 0,A 1.0 - 1.0,T,08:00 am-09:15 am,0081 0205,,,Athens,,1,15,15
11147 0,A 1.0 - 1.0,R,08:00 am-09:15 am,0081 0205,,,Athens,,1,15,15
11159 0,A 1.0 - 1.0,T,09:30 am-10:45 am,0081 0277,,,Athens,,1,15,15
11161 0,A 1.0 - 1.0,R,09:30 am-10:45 am,0081 0277,,,Athens,,1,15,15
11193 0,A 1.0 - 1.0,T,11:00 am-12:15 pm,0081 0269,,,Athens,,1,15,15
11205 0,A 1.0 - 1.0,R,11:00 am-12:15 pm,0081 0269,,,Athens,,1,15,15
11217 0,A 1.0 - 1.0,T,12:30 pm-01:45 pm,0056 0225,,,Athens,,1,15,15
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,,BLDG,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FYOS,1001,First Year Odyssey,,,,,,,,,
11233 0,A 1.0 - 1.0,T,12:30 pm-01:45 pm,,0081,0274,Athens,,1,15,15
11236 0,A 1.0 - 1.0,T,12:30 pm-01:45 pm,,0064,0426,Athens,,1,15,15
11255 0,A 1.0 - 1.0,R,12:30 pm-01:45 pm,,0081,0274,Athens,,1,15,15
11256 0,A 1.0 - 1.0,R,12:30 pm-01:45 pm,,0056,0225,Athens,,1,15,15
11259 0,A 1.0 - 1.0,R,12:30 pm-01:45 pm,,0064,0426,Athens,,1,15,15
11260 0,A 1.0 - 1.0,T,02:00 pm-03:15 pm,,1023,0326,Athens,,1,15,15
11261 0,A 1.0 - 1.0,T,02:00 pm-03:15 pm,,0081,0274,Athens,,1,15,15
11263 0,A 1.0 - 1.0,T,02:00 pm-03:15 pm,,0081,0205,Athens,,1,15,15
11264 0,A 1.0 - 1.0,R,02:00 pm-03:15 pm,,0081,0205,Athens,,1,15,15
11267 0,A 1.0 - 1.0,R,02:00 pm-03:15 pm,,1010,0379,Athens,,1,15,15
11301 0,A 1.0 - 1.0,R,02:00 pm-03:15 pm,,0081,0274,Athens,,1,15,15
11308 0,A 1.0 - 1.0,T,03:30 pm-04:45 pm,,1130,0303,Athens,,1,15,15
11348 0,A 1.0 - 1.0,T,03:30 pm-04:45 pm,,0081,0367,Athens,,1,15,15
11402 0,A 1.0 - 1.0,T,03:30 pm-04:45 pm,,0081,0277,Athens,,1,15,15
11410 0,A 1.0 - 1.0,T,03:30 pm-04:45 pm,,0081,0269,Athens,,1,15,15
11419 0,A 1.0 - 1.0,T,03:30 pm-04:45 pm,,1060,0531,Athens,,1,15,15
11422 0,A 1.0 - 1.0,T,03:30 pm-04:45 pm,,0081,0205,Athens,,1,15,15
11427 0,A 1.0 - 1.0,T,03:30 pm-04:45 pm,,0050,0114A,Athens,,1,15,15
11433 0,A 1.0 - 1.0,T,03:30 pm-04:45 pm,,0081,0274,Athens,,1,15,15
11439 0,A 1.0 - 1.0,R,03:30 pm-04:45 pm,,1023,0326,Athens,,1,15,15
11556 0,A 1.0 - 1.0,R,03:30 pm-04:45 pm,,0050,0114A,Athens,,1,15,15
11557 0,A 1.0 - 1.0,R,03:30 pm-04:45 pm,,1130,0303,Athens,,1,15,15
11559 0,A 1.0 - 1.0,R,03:30 pm-04:45 pm,,0081,0274,Athens,,1,15,15
11572 0,A 1.0 - 1.0,R,03:30 pm-04:45 pm,,0081,0367,Athens,,1,15,15
11575 0,A 1.0 - 1.0,R,03:30 pm-04:45 pm,,0081,0205,Athens,,1,15,15
11584 0,A 1.0 - 1.0,R,03:30 pm-04:45 pm,,1031,0107,Athens,,1,15,15
11979 0,A 1.0 - 1.0,R,03:30 pm-04:45 pm,,0081,0277,Athens,,1,15,15
